PC_Timestamp_GPS,GPS_Longitude_GPS,GPS_Latitude_GPS,GPS_Speed_GPS
2023-07-31 09:40:16,11525.0479,2825.22314,37.2335472
2023-07-31 09:40:20,11525.0479,2825.22314,37.2335472
2023-07-31 09:40:21,11525.041,2825.21631,37.4716
2023-07-31 09:40:22,11525.041,2825.21631,37.4716
2023-07-31 09:40:23,11525.0342,2825.20947,37.7740479
2023-07-31 09:40:26,11525.0342,2825.20947,37.7740479
2023-07-31 09:40:27,11525.0273,2825.20239,37.8637466
2023-07-31 09:40:28,11525.0273,2825.20239,37.93045
2023-07-31 09:40:29,11525.0273,2825.20239,37.93045
2023-07-31 09:40:31,11525.0273,2825.20239,37.93045
2023-07-31 09:40:34,11525.0137,2825.18872,37.8729477
2023-07-31 09:40:36,11525.0137,2825.18872,37.8729477
2023-07-31 09:40:39,11525.0,2825.1748,38.0052
2023-07-31 09:40:41,11525.0,2825.1748,38.0052
2023-07-31 09:40:42,11524.9932,2825.168,37.959198
2023-07-31 09:40:47,11524.8438,2825.01538,29.6746
2023-07-31 09:40:47,11524.8438,2825.01538,29.6746
2023-07-31 09:40:48,11524.8438,2825.01538,29.6746
2023-07-31 09:40:51,11524.8438,2825.01538,29.6746
2023-07-31 09:40:52,11524.8389,2825.01,29.5481
2023-07-31 09:40:54,11524.8389,2825.01,29.5481
2023-07-31 09:40:55,11524.833,2825.00464,29.532
2023-07-31 09:40:55,11524.833,2825.00464,29.532
2023-07-31 09:40:59,11524.8281,2824.99951,29.3779
2023-07-31 09:41:01,11524.8281,2824.99951,29.3779
2023-07-31 09:41:01,11524.8281,2824.99951,29.3779
2023-07-31 09:41:04,11524.8281,2824.99951,29.3779
2023-07-31 09:41:06,11524.8174,2824.98877,29.3043
2023-07-31 09:41:07,11524.8174,2824.98877,29.3043
2023-07-31 09:41:07,11524.8174,2824.98877,29.3043
2023-07-31 09:41:08,11524.8115,2824.98364,29.1042
2023-07-31 09:41:09,11524.8115,2824.98364,29.1042
2023-07-31 09:41:12,11524.8066,2824.97852,29.008749
2023-07-31 09:41:14,11524.8066,2824.97852,29.008749
2023-07-31 09:41:15,11524.8008,2824.97339,29.0029984
2023-07-31 09:41:16,11524.8008,2824.97339,29.0029984
2023-07-31 09:41:20,11524.74,2824.91431,0.0379499979
2023-07-31 09:41:20,11524.74,2824.91431,0.0379499979
2023-07-31 09:41:21,11524.74,2824.91431,0.0379499979
2023-07-31 09:41:24,11524.74,2824.91431,0.0379499979
2023-07-31 09:41:27,11524.74,2824.91431,0.0644
2023-07-31 09:41:28,11524.74,2824.91431,0.0322
2023-07-31 09:41:28,11524.74,2824.91431,0.0322
2023-07-31 09:41:33,11524.74,2824.91455,0.0437
2023-07-31 09:41:33,11524.74,2824.91455,0.0437
2023-07-31 09:41:34,11524.74,2824.91455,0.0437
2023-07-31 09:41:40,11524.74,2824.91455,0.0092
2023-07-31 09:41:41,11524.74,2824.91455,0.0092
2023-07-31 09:41:47,11524.74,2824.91479,0.0437
2023-07-31 09:41:50,11524.74,2824.91479,0.0391000025
2023-07-31 09:41:51,11524.7393,2824.91455,0.06325
2023-07-31 09:41:53,11524.7393,2824.91455,0.06325
2023-07-31 09:41:53,11524.7393,2824.91455,0.06325
2023-07-31 09:41:55,11524.7393,2824.91455,0.06325
2023-07-31 09:41:56,11524.7393,2824.91455,0.07015
2023-07-31 09:41:57,11524.7393,2824.91455,0.07015
2023-07-31 09:42:00,11524.7393,2824.91455,0.0322
2023-07-31 09:42:01,11524.7393,2824.91455,0.0322
2023-07-31 09:42:04,11524.7393,2824.91455,0.05175
2023-07-31 09:42:06,11524.7393,2824.91455,0.0276
2023-07-31 09:42:07,11524.7393,2824.91455,0.0276
2023-07-31 09:42:07,11524.7393,2824.91455,0.0276
2023-07-31 09:42:11,11524.7393,2824.91455,0.658950031
2023-07-31 09:42:13,11524.7393,2824.91455,0.658950031
2023-07-31 09:42:14,11524.7393,2824.91455,0.658950031
2023-07-31 09:42:15,11524.7393,2824.914,2.71284986
2023-07-31 09:42:17,11524.7383,2824.91333,4.42405
2023-07-31 09:42:18,11524.7383,2824.91333,4.42405
2023-07-31 09:42:20,11524.7383,2824.91333,4.42405
2023-07-31 09:42:21,11524.7373,2824.91235,5.67985
2023-07-31 09:42:25,11524.6719,2824.8457,25.49895
2023-07-31 09:42:25,11524.6719,2824.8457,25.49895
2023-07-31 09:42:26,11524.6719,2824.8457,25.49895
2023-07-31 09:42:31,11524.667,2824.84131,25.98195
